home_team,away_team,id,market,competition_name,competition_cluster,status,federation,is_expired,season,result
Pomorie,Strumska Slava Radomir,40586,classic,Second PFL,Bulgaria,lost,UEFA,True,2018 - 2019,0 - 2
FC Koln,Greuther Furth,40101,classic,. Bundesliga,Germany,won,UEFA,True,2018 - 2019,4 - 0
Sankt Pauli,Dynamo Dresden,40103,classic,. Bundesliga,Germany,won,UEFA,True,2018 - 2019,1 - 1
Sloboda Tuzla,Mladost Doboj Kakanj,40154,classic,Premier League,Bosnia and Herzegovina,won,UEFA,True,2018 - 2019,2 - 1
Sutjeska Niksic,Grbalj Radanovici,40187,classic,Prva Liga,Montenegro,won,UEFA,True,2018 - 2019,3 - 0
Sheffield United,Leeds,40062,classic,Championship,England,won,UEFA,True,2018 - 2019,0 - 1
Grenoble Foot 38,Metz,40095,classic,Ligue 2,France,won,UEFA,True,2018 - 2019,1 - 1
Preussen Munster,Hallescher,40108,classic,. Liga,Germany,lost,UEFA,True,2018 - 2019,1 - 2
Botev Plovdiv,Beroe Stara Zagora,40158,classic,First PFL,Bulgaria,won,UEFA,True,2018 - 2019,4 - 1
Platanias FC,AO Trikala,40171,classic,Football League,Greece,won,UEFA,True,2018 - 2019,2 - 0
Warta Poznan,Puszcza Niepolomice,40200,classic,First League,Poland,won,UEFA,True,2018 - 2019,2 - 0
FC Nitra,FK Senica,40242,classic,Superliga,Slovakia,won,UEFA,True,2018 - 2019,1 - 0
Antalyaspor,Goztepe,40252,classic,Super Lig,Turkey,won,UEFA,True,2018 - 2019,1 - 0
Sion,Luzern,40249,classic,Swiss Super League,Switzerland,won,UEFA,True,2018 - 2019,2 - 0
Zulte Waregem,Oostende,40150,classic,First Division A,Belgium,lost,UEFA,True,2018 - 2019,1 - 1
Szombathelyi Haladas,Diosgyori,40175,classic,NB I,Hungary,won,UEFA,True,2018 - 2019,1 - 1
Apollon Smyrni,Atromitos Athens,40168,classic,Super League,Greece,lost,UEFA,True,2018 - 2019,1 - 1
SPAL,Empoli,40111,classic,Serie A,Italy,lost,UEFA,True,2018 - 2019,2 - 2
Cremonese,Crotone,40116,classic,Serie B,Italy,won,UEFA,True,2018 - 2019,1 - 0
NK Osijek,HNK Rijeka,40160,classic,Prva HNL,Croatia,lost,UEFA,True,2018 - 2019,1 - 2
Chrobry Glogow,Wigry Suwalki,40201,classic,First League,Poland,lost,UEFA,True,2018 - 2019,0 - 2
Istanbul Basaksehir,Sivasspor,40253,classic,Super Lig,Turkey,lost,UEFA,True,2018 - 2019,0 - 1
SP Tre Penne,SS Virtus,40596,classic,Campionato Sammarinese,San Marino,won,UEFA,True,2018 - 2019,4 - 1
Leicester,Watford,40058,classic,Premier League,England,won,UEFA,True,2018 - 2019,2 - 0
Birmingham,Preston,40063,classic,Championship,England,won,UEFA,True,2018 - 2019,3 - 0
Norwich,Rotherham,40067,classic,Championship,England,won,UEFA,True,2018 - 2019,3 - 1
Queens Park Rangers,Hull City,40069,classic,Championship,England,won,UEFA,True,2018 - 2019,2 - 3
Eastleigh,Dover Athletic,40074,classic,National League,England,won,UEFA,True,2018 - 2019,2 - 2
Werder Bremen,Bayern Munchen,40099,classic,Bundesliga,Germany,won,UEFA,True,2018 - 2019,1 - 2
Ballymena United,Linfield,40193,classic,NIFL Premiership,Northern Ireland,lost,UEFA,True,2018 - 2019,2 - 1
Cliftonville,Dungannon Swifts,40194,classic,NIFL Premiership,Northern Ireland,won,UEFA,True,2018 - 2019,5 - 1
Glenavon,Institute,40195,classic,NIFL Premiership,Northern Ireland,lost,UEFA,True,2018 - 2019,3 - 3
Queen of the South,Partick Thistle,40224,classic,Championship,Scotland,won,UEFA,True,2018 - 2019,1 - 0
Dumbarton,Brechin City,40226,classic,League One,Scotland,won,UEFA,True,2018 - 2019,4 - 1
Stirling Albion,Elgin City,40234,classic,League Two,Scotland,won,UEFA,True,2018 - 2019,5 - 2
Blackburn,Sheffield Wednesday,40064,classic,Championship,England,won,UEFA,True,2018 - 2019,4 - 2
Fylde,Sutton United,40075,classic,National League,England,won,UEFA,True,2018 - 2019,2 - 2
Leyton Orient,Gateshead,40077,classic,National League,England,won,UEFA,True,2018 - 2019,2 - 0
Lille,Lyonnais,40090,classic,Ligue 1,France,won,UEFA,True,2018 - 2019,2 - 2
Valladolid,Leganes,40129,classic,Primera Division,Spain,lost,UEFA,True,2018 - 2019,2 - 4
Deportivo Fabril,Real Madrid Castilla,40132,classic,Segunda Division B Group 1,Spain,won,UEFA,True,2018 - 2019,4 - 3
Austria Wien,Sankt Polten,40143,classic,Bundesliga,Austria,won,UEFA,True,2018 - 2019,2 - 0
Westerlo,Roeselare,40152,classic,First Division B,Belgium,won,UEFA,True,2018 - Second Stage,2 - 0
Levski Sofia,Dunav Ruse,40159,classic,First PFL,Bulgaria,won,UEFA,True,2018 - 2019,3 - 0
Larissa,Panionios,40167,classic,Super League,Greece,won,UEFA,True,2018 - 2019,4 - 2
MTK Budapest,Debreceni,40174,classic,NB I,Hungary,lost,UEFA,True,2018 - 2019,0 - 1
Glentoran,Crusaders,40196,classic,NIFL Premiership,Northern Ireland,lost,UEFA,True,2018 - 2019,2 - 2
Maritimo,Vitoria Setubal,40205,classic,Primeira Liga,Portugal,lost,UEFA,True,2018 - 2019,0 - 1
Fiorentina,Juventus,40112,classic,Serie A,Italy,won,UEFA,True,2018 - 2019,0 - 3
Charleroi,Cercle Brugge,40148,classic,First Division A,Belgium,won,UEFA,True,2018 - 2019,3 - 1
Rudes Zagreb,Hajduk Split,40161,classic,Prva HNL,Croatia,won,UEFA,True,2018 - 2019,1 - 4
FC Slovacko,Sparta Prague,40165,classic,First League,Czech Republic,lost,UEFA,True,2018 - 2019,2 - 1
M.S. Ashdod,Ironi Kiryat Shmona,40178,classic,Premier League,Israel,lost,UEFA,True,2018 - 2019,1 - 0
NK Domzale,NK Maribor,40247,classic,. SNL,Slovenia,won,UEFA,True,2018 - 2019,1 - 2
Kriens,Winterthur,40251,classic,Challenge League,Switzerland,won,UEFA,True,2018 - 2019,1 - 2
Kayserispor,Trabzonspor,40254,classic,Super Lig,Turkey,won,UEFA,True,2018 - 2019,0 - 2
Real Madrid,Valencia,40131,classic,Primera Division,Spain,won,UEFA,True,2018 - 2019,2 - 0
Southampton,Manchester United,40061,classic,Premier League,England,lost,UEFA,True,2018 - 2019,2 - 2
Middlesbrough,Aston Villa,40071,classic,Championship,England,won,UEFA,True,2018 - 2019,0 - 3
Hoffenheim,Schalke 04,40100,classic,Bundesliga,Germany,lost,UEFA,True,2018 - 2019,1 - 1
Ascoli,Spezia,40117,classic,Serie B,Italy,won,UEFA,True,2018 - 2019,3 - 1
Getafe,Espanyol,40130,classic,Primera Division,Spain,won,UEFA,True,2018 - 2019,3 - 0
Barcelona B,Valencia Mestalla,40140,classic,Segunda Division B Group 3,Spain,won,UEFA,True,2018 - 2019,2 - 2
AEL Limassol,Omonia Nicosia,40163,classic,First Division,Cyprus,won,UEFA,True,2018 - 2019,2 - 1
PAS Giannina,OFI Crete,40169,classic,Super League,Greece,won,UEFA,True,2018 - 2019,1 - 1
Thun,St. Gallen,40250,classic,Swiss Super League,Switzerland,won,UEFA,True,2018 - 2019,2 - 0
Monaco,Montpellier,40093,classic,Ligue 1,France,lost,UEFA,True,2018 - 2019,1 - 2
Kortrijk,Royal Excel Mouscron,40149,classic,First Division A,Belgium,won,UEFA,True,2018 - 2019,1 - 0
Paksi,Ferencvarosi,40176,classic,NB I,Hungary,won,UEFA,True,2018 - 2019,0 - 3
AZ Alkmaar,Willem II Tilburg,40189,classic,Eredivisie,Netherlands,lost,UEFA,True,2018 - 2019,0 - 2
Benfica,Feirense,40206,classic,Primeira Liga,Portugal,won,UEFA,True,2018 - 2019,4 - 0
Viitorul Constanta,Dinamo Bucuresti,40214,classic,Liga I,Romania,won,UEFA,True,2018 - 2019,4 - 1
NK Krsko,ND Gorica,40248,classic,. SNL,Slovenia,won,UEFA,True,2018 - 2019,1 - 0
Vereya Stara Zagora,Lokomotiv Plovdiv,40157,classic,First PFL,Bulgaria,lost,UEFA,True,2018 - 2019,2 - 2
Sampdoria,Bologna,40113,classic,Serie A,Italy,won,UEFA,True,2018 - 2019,4 - 1
Legia Warszawa,Korona Kielce,40199,classic,Ekstraklasa,Poland,won,UEFA,True,2018 - 2019,3 - 0
Sporting Gijon,Tenerife,40325,classic,Segunda Division,Spain,won,UEFA,True,2018 - 2019,2 - 1
SC Braga,Moreirense,40207,classic,Primeira Liga,Portugal,won,UEFA,True,2018 - 2019,2 - 0
Alma Juventus Fano,Rimini,40126,classic,Serie C,Italy,won,UEFA,True,2018 - 2019,1 - 0
Boluspor,Adana Demirspor,40256,classic,TFF First League,Turkey,lost,UEFA,True,2018 - 2019,2 - 3
Mladost Lucani,Partizan Belgrade,40238,classic,SuperLiga,Serbia,lost,UEFA,True,2018 - 2019,1 - 1
Altay,Altinordu,40255,classic,TFF First League,Turkey,lost,UEFA,True,2018 - 2019,1 - 2
Raith Rovers,Airdrie United,40228,classic,League One,Scotland,won,UEFA,True,2018 - 2019,2 - 0
Arsenal Kiev,Karpaty Lvov,40260,classic,Premier League,Ukraine,lost,UEFA,True,2018 - 2019,1 - 1
Nottingham,Ipswich,40068,classic,Championship,England,won,UEFA,True,2018 - 2019,2 - 0
FK Sarajevo,Celik Zenica,40156,classic,Premier League,Bosnia and Herzegovina,won,UEFA,True,2018 - 2019,3 - 1
Bolton,Wigan,40065,classic,Championship,England,won,UEFA,True,2018 - 2019,1 - 1
Banants,Shirak,40582,classic,Premier League,Armenia,won,UEFA,True,2018 - 2019,4 - 0
Wehen Wiesbaden,Sportfreunde Lotte,40109,classic,. Liga,Germany,won,UEFA,True,2018 - 2019,2 - 0
OFK Petrovac,Iskra Danilovgrad,40185,classic,Prva Liga,Montenegro,lost,UEFA,True,2018 - 2019,1 - 2
Vitoria Guimaraes B,Oliveirense,40212,classic,Segunda Liga,Portugal,won,UEFA,True,2018 - 2019,1 - 1
Huddersfield,Brighton,40057,classic,Premier League,England,lost,UEFA,True,2018 - 2019,1 - 2
Stranraer,Forfar Athletic,40229,classic,League One,Scotland,won,UEFA,True,2018 - 2019,2 - 1
Gernika Club,Arenas Club de Getxo,40136,classic,Segunda Division B Group 2,Spain,won,UEFA,True,2018 - 2019,2 - 0
Academica Coimbra,Arouca,40209,classic,Segunda Liga,Portugal,won,UEFA,True,2018 - 2019,2 - 0
Recreativo Huelva,Sevilla Atletico,40141,classic,Segunda Division B Group 4,Spain,won,UEFA,True,2018 - 2019,2 - 1
Cittadella,Salernitana,40114,classic,Serie B,Italy,won,UEFA,True,2018 - 2019,3 - 1
Rad Belgrade,Vojvodina Novi Sad,40236,classic,SuperLiga,Serbia,won,UEFA,True,2018 - 2019,0 - 1
Sudtirol,Pordenone,40120,classic,Serie C,Italy,lost,UEFA,True,2018 - 2019,1 - 1
Leioa,Izarra,40135,classic,Segunda Division B Group 2,Spain,lost,UEFA,True,2018 - 2019,2 - 2
Derby County,Swansea,40066,classic,Championship,England,won,UEFA,True,2018 - 2019,2 - 1
NK Aluminij Kidricevo,Olimpija Ljubljana,40246,classic,. SNL,Slovenia,lost,UEFA,True,2018 - 2019,6 - 2
Arbroath,Stenhousemuir,40225,classic,League One,Scotland,won,UEFA,True,2018 - 2019,5 - 2
Peterhead,Annan Athletic,40233,classic,League Two,Scotland,won,UEFA,True,2018 - 2019,2 - 1
Kilmarnock,Hibernian,40218,classic,Premiership,Scotland,won,UEFA,True,2018 - 2019,3 - 0
FC Orenburg,Krylya Sovetov Samara,40216,classic,Premier League,Russia,postponed,UEFA,True,2018 - 2019,postp
Teramo,Renate,40121,classic,Serie C,Italy,won,UEFA,True,2018 - 2019,2 - 2
MSK Zilina,DAC Dunajska Streda,40245,classic,Superliga,Slovakia,won,UEFA,True,2018 - 2019,2 - 2
Borussia Dortmund,Freiburg,40096,classic,Bundesliga,Germany,won,UEFA,True,2018 - 2019,2 - 0
Clyde,Berwick Rangers,40231,classic,League Two,Scotland,lost,UEFA,True,2018 - 2019,3 - 3
Hannover,Hertha Berlin,40097,classic,Bundesliga,Germany,won,UEFA,True,2018 - 2019,0 - 2
Maccabi Haifa,Hapoel Haifa,40180,classic,Premier League,Israel,lost,UEFA,True,2018 - 2019,1 - 3
Bnei Yehuda,Bnei Sakhnin,40177,classic,Premier League,Israel,lost,UEFA,True,2018 - 2019,0 - 1
Dunfermline Athletic,Greenock Morton,40222,classic,Championship,Scotland,won,UEFA,True,2018 - 2019,3 - 0
Giana Erminio,FeralpiSalo,40118,classic,Serie C,Italy,won,UEFA,True,2018 - 2019,2 - 4
Maccabi Petah Tikva,Maccabi Tel Aviv,40181,classic,Premier League,Israel,lost,UEFA,True,2018 - 2019,1 - 1
MFK Zemplin Michalovce,Zlate Moravce,40243,classic,Superliga,Slovakia,won,UEFA,True,2018 - 2019,3 - 0
Cordoba,Elche,40321,classic,Segunda Division,Spain,won,UEFA,True,2018 - 2019,1 - 1
Mlada Boleslav,Karvina,40164,classic,First League,Czech Republic,lost,UEFA,True,2018 - 2019,1 - 1
Saint Mirren,Hamilton Academical,40220,classic,Premiership,Scotland,won,UEFA,True,2018 - 2019,1 - 3
Connah's Quay Nomads,Llandudno FC,40261,classic,Premier League,Wales,won,UEFA,True,2018 - 2019,3 - 0
Alloa Athletic,Ross County,40221,classic,Championship,Scotland,won,UEFA,True,2018 - 2019,0 - 1
Crystal Palace,Burnley,40056,classic,Premier League,England,won,UEFA,True,2018 - 2019,2 - 0
Mafra,Porto B,40208,classic,Segunda Liga,Portugal,won,UEFA,True,2018 - 2019,2 - 1
Braintree,Barrow,40073,classic,National League,England,won,UEFA,True,2018 - 2019,0 - 2
Alki Oroklini,Nea Salamina Famagusta,40162,classic,First Division,Cyprus,lost,UEFA,True,2018 - 2019,2 - 0
Stuttgart,Augsburg,40098,classic,Bundesliga,Germany,won,UEFA,True,2018 - 2019,1 - 0
Newcastle,West Ham,40060,classic,Premier League,England,won,UEFA,True,2018 - 2019,0 - 3
Aldershot,Ebbsfleet United,40072,classic,National League,England,lost,UEFA,True,2018 - 2019,0 - 2
Ards FC,Warrenpoint Town,40192,classic,NIFL Premiership,Northern Ireland,lost,UEFA,True,2018 - 2019,1 - 1
Manchester City,Bournemouth,40059,classic,Premier League,England,won,UEFA,True,2018 - 2019,3 - 1
